index,title,release_date,vote_average
138,Investigation of a Citizen Above Suspicion,1970-10-16,8.172
139,Innocent Voices,2005-01-28,8.2
140,Persona,1966-10-18,8.164
141,The Kid,1921-01-21,8.163
142,Alien,1979-05-25,8.162
143,Hamilton,2020-07-03,8.2
144,Vertigo,1958-05-28,8.16
145,Scarface,1983-12-09,8.16
146,The Departed,2006-10-04,8.159
147,Black Clover: Sword of the Wizard King,2023-06-16,8.158
148,Good Will Hunting,1997-12-05,8.157
149,My Hero Academia: Heroes Rising,2019-12-20,8.158
150,Casablanca,1943-01-15,8.156
151,Capernaum,2018-09-20,8.152
152,Steven Universe: The Movie,2019-10-07,8.155
153,Dune: Part Two,2024-02-27,8.149
154,Piper,2016-06-16,8.148
155,The Truman Show,1998-06-04,8.146
156,Togo,2019-12-20,8.144
157,Scenes from a Marriage,1974-09-15,8.1
158,Singin' in the Rain,1952-04-09,8.143
159,The Shop Around the Corner,1940-01-12,8.1
160,Violet Evergarden: Eternity and the Auto Memory Doll,2019-09-06,8.14
161,My Friends,1975-10-24,8.14
162,Joker,2019-10-01,8.139
163,Jujutsu Kaisen 0,2021-12-24,8.136
164,8½,1963-02-14,8.137
165,There's Still Tomorrow,2023-10-26,8.135
166,Taxi Driver,1976-02-09,8.134
167,Central Station,1998-04-03,8.133
168,Bound by Honor,1993-02-05,8.13
169,Silenced,2011-09-22,8.13
170,Wild Strawberries,1957-08-28,8.122
171,Full Metal Jacket,1987-06-26,8.125
172,Zack Snyder's Justice League,2021-03-18,8.123
173,Better Days,2019-10-25,8.123
174,Wonder,2017-11-13,8.1
175,Terminator 2: Judgment Day,1991-07-03,8.123
176,Reservoir Dogs,1992-09-02,8.122
177,Call Me by Your Name,2017-07-28,8.1
178,Stalker,1979-05-25,8.117
179,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964-01-29,8.1
180,Red Beard,1965-04-03,8.118
181,Double Indemnity,1944-07-06,8.116
182,Portrait of a Lady on Fire,2019-09-18,8.115
183,"Lock, Stock and Two Smoking Barrels",1998-08-28,8.115
184,The Father,2020-12-23,8.114
185,Soul,2020-12-25,8.111
186,"“The Shorts” by Aldo, Giovanni and Giacomo",1996-03-29,8.1
187,Metropolis,1927-02-06,8.109
188,The Hate U Give,2018-10-19,8.105
189,The Great War,1959-10-28,8.1
190,Big Deal on Madonna Street,1958-07-26,8.1
191,The Best of Youth,2003-06-22,8.105
192,Palmer,2021-01-28,8.1
193,In the Mood for Love,2000-09-29,8.103
194,Green Snake,2021-07-23,8.1
195,Mortal Kombat Legends: Scorpion's Revenge,2020-04-12,8.099
196,The Invisible Guest,2017-01-06,8.1
197,Prisoners,2013-09-19,8.1
198,Purple Hearts,2022-07-29,8.096
199,Incendies,2010-09-17,8.096
200,WALL·E,2008-06-22,8.096
201,The Tale of The Princess Kaguya,2013-11-23,8.095
202,Some Like It Hot,1959-03-19,8.1
203,Yojimbo,1961-04-25,8.1
204,The Hunt,2012-06-13,8.092
205,Transformers One,2024-09-11,8.1
206,Sansho the Bailiff,1954-03-31,8.1
207,"Paris, Texas",1984-07-16,8.091
208,Eternal Sunshine of the Spotless Mind,2004-03-19,8.091
209,La Haine,1995-05-31,8.089
210,Children of Paradise,1945-03-15,8.088
211,Harry Potter and the Deathly Hallows: Part 2,2011-07-12,8.086
